,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Advertising Agencies,40.88,0.0,0.0,0.0,0.33421,0.08566,0.04684,0.06622,0.098979995,10.86,2.2253673,0.05163,8.138,0.88851,13.0,52.69
2,Aerospace & Defense,59.699999999999996,0.10010000000000001,0.0047,0.0125,0.39802999999999994,-1.0036667,-0.36829333333333336,-0.168063343,-0.179245,34.4685,2.95407,0.17062332633333332,1.687,0.13863666333333333,1.5,128.5
3,Apparel Manufacturing,2.87,0.0,0.0039,0.0,0.34986,0.02337,0.023540001,0.01481,0.05547,85.85,0.32128066,0.73108,7.473,0.01263,0.0,0.0
4,Apparel Retail,29.6575,0.0,0.09864999999999999,0.0,0.3064675,-1.0086975,0.0200875005,0.04855,-0.14161,702.397,21.595001866666667,0.23484249499999998,19.46675,0.482085,2.3333333333333335,54.083333333333336
5,Asset Management,49.30061666666666,0.36335000166666664,0.004916666661666667,0.08308333433333333,0.9104083333333334,0.15438833166666666,10.694044836666668,0.038771667,0.2914450025,70.62899999999999,1.6587200600000003,0.0654116665,14.07,0.35808,5.666666666666667,16.653333333333332
6,Auto & Truck Dealerships,31.47,0.0,0.047,0.0,0.44724998,0.1446,-0.01926,0.029089998,-0.02132,144.696,0.0,0.02657,31.856,0.96866995,8.0,38.38
7,Auto Manufacturers,8.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50136499,-62.84,0.100925,5.0,18.645
8,Auto Parts,43.25666666666667,0.0,0.022533334,0.0,0.20066000666666664,0.06035666333333334,0.00929666666666667,0.046169999966666674,0.06035000333333334,129.25466666666668,2.391344804866667,0.24310000333333334,17.520333333333337,0.5689699966666666,3.0,66.41499999999999
9,Banks—Diversified,82.8,0.2208,0.0139,0.0159,0.0,0.61018,0.4952,0.01472,0.15149,0.0,2.2222223,0.00782,0.0,0.91791,11.0,90.55
10,Banks—Regional,46.612978723404254,0.27264390317073167,0.02212926834878049,0.028108888866666668,0.0,0.40683595446808507,0.2849176600851064,0.010960652086956525,0.10235239028260866,0.0,1.3733509462790696,0.10046174075652174,0.0,0.4870908710869565,4.32258064516129,63.583870967741944
11,Beverages—Wineries & Distilleries,2.04,0.0,0.0104,0.0,0.33014,-0.56544,-0.19054002,-0.15713,-1.05158,96.621,2.8531468,0.12933,-7.034,0.16176,0.0,0.0
