,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,1.3067,0.0,0.0,0.0,0.2047725025,-0.3533325,-0.3921775,0.0,0.0,111.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Advertising Agencies,9.136666666666668,0.0,0.06530000000000001,0.080299996,0.45067332,-1.0080266233333333,-0.92738,-0.08785666766666667,-0.30434,72.642,0.0,2.2890558,0.07550333366666666,216.35699999999997,0.6849466666666667,5.0,19.483333333333334
2,Aerospace & Defense,50.4,0.0,0.0247,0.0,0.43523997,0.11321,0.08011,0.03429,0.0509,16.706,38.799076,1.912133,0.01784,23.99,0.95726997,8.0,67.63
3,Agricultural Inputs,0.8092,0.0,0.0233,0.0,0.61353,-0.37113997,-0.41237,-0.113649994,-0.54524,99.988,0.0,4.0059404,0.01761,-15.121,0.87172997,5.0,2.63
4,Airlines,8.04,0.0,0.035099998,0.0,0.17546,-0.09923001,0.07374,-0.01975,0.075430006,154.761,8.516949,0.58476985,0.11609,24.786,0.67691004,5.0,13.2
5,Apparel Manufacturing,0.6615,0.0,0.053600002,0.0,0.42344,-0.17358999,-0.85390997,-0.069910005,-1.6487399,43.779,0.0,3.3075,0.12906,-36.17,0.0022200001,0.0,0.0
6,Apparel Retail,457.21,0.0,0.019199999,0.0,0.57622004,0.20686,0.14962,0.18083,0.35379001,29.756,72.354805,22.224867,0.043169998,43.896,0.87996,28.0,467.68
7,Asset Management,35.1396875,0.43995999599999996,0.005250000065,0.08037142685714285,0.75,0.4957462475,0.8916575382499999,0.030270001750000004,0.19991375000000003,88.28216666666667,13.550833033333333,1.4500892083333332,0.046198748975,21.265,0.241815005,6.0,46.53
8,Auto & Truck Dealerships,3.1401,0.0,0.0951,0.0,0.050329998,-0.51597,-0.14140001,-0.41352,-0.27667,14.8,0.0,1.5827117,0.22105,-1.665,0.45351002,2.0,7.5
9,Auto Manufacturers,18.115000000000002,0.0,0.1717,0.0,0.222744995,-6174.460295,0.036725,-0.19072501,-0.310819995,9.815,64.60705,1.8136173,0.281395,-4.6964999999999995,0.284705005,8.0,28.635
10,Auto Parts,40.62,0.3261,0.144099995,0.0191,0.28539001,0.07349,0.039115,0.030059999499999997,0.068805,87.2895,39.256762,1.99579285,0.021285,13.916,1.0645,3.0,44.5
11,Banks—Regional,29.38340882352942,0.24427777777777776,0.012611111037037038,0.035313793031034484,0.0,0.4584944132352942,0.331604410882353,0.014407272660606062,0.14050484800000004,0.0,14.515020358620694,1.3207682089655173,0.1553745178064516,0.0,0.3901051629032258,3.0434782608695654,34.326521739130435
12,Beverages—Non-Alcoholic,45.315,0.0,0.03469999925,0.0,0.6231599999999999,0.14565000150000001,0.135685,0.06515,0.11721999999999999,12.3855,32.960915,4.82549385,0.15636,-30.164,0.45116003000000005,10.5,55.945
13,Beverages—Wineries & Distilleries,76.0,0.1333,0.17940001,0.0066000004,0.30389,0.17817,0.12673001,0.09056,0.16332,41.254,28.200373,4.622871,0.42812002,15.741,0.81521004,3.0,73.33
14,Biotechnology,18.868190909090906,0.0,0.05694262315573771,0.0,0.03822168441558442,-64.6988681722078,-0.32640519831168835,-0.30862500095312506,-1.3452211555737705,34.8961186440678,66.39411333333334,9.63326181372549,0.13268324176216215,-7.040157142857145,0.47171067876621586,5.358208955223881,65.67970149253732
15,Broadcasting,53.271428571428565,0.12037142285714285,0.03154285707142857,0.011066666666666667,0.48645427857142864,0.16756714285714286,-0.00232143042857143,0.03490857142857143,-0.021040002857142852,244.61185714285713,8.900707,2.0734890166666666,0.25566428385714285,15.430714285714288,0.6359685914285714,6.5,87.42500000000001
16,Capital Markets,148.51749999999998,0.127350005,0.07033333333333333,0.0056499999,0.09123749999999999,-9.54857251,-0.024517499999999998,0.01746333333333332,-0.07799999499999999,96.2075,49.24799333333333,10.038959,0.031372498575,2.413333333333334,0.5752199875,7.333333333333333,243.86666666666665
17,Chemicals,22.211499999999997,0.036199998,0.0,0.0116,0.11631499495,0.037880000999999996,0.010494997499999995,-0.150870001,0.1882,151.834,0.0,2.6411254,0.0522600029,3.8855,0.500965,12.0,45.83
18,Coking Coal,11.15,0.0,0.0146,0.0,0.17478001,-0.0365,0.02172,-0.0196,0.025220001,7.254,0.0,2.829231,0.17399,39.767,0.65081,5.0,8.85
19,Communication Equipment,10.07875,0.0,0.047800000025,0.0,0.338972505,-0.01301500125,-0.021682500000000004,-0.01450999975,-0.13497500199999998,70.05199999999999,10.084156,2.5828762666666667,0.2926125005,19.137249999999998,0.35157003000000003,3.3333333333333335,18.83
20,Computer Hardware,31.146666666666665,0.17200000000000001,0.0773,0.0233,0.4757099966666667,-4.595073,-0.80309,-0.03168999999999999,0.43805999999999995,134.392,27.034056,9.93282311,0.11357333333333332,6.227,0.4237366683333333,11.5,48.26
21,Confectioners,62.34,0.4172,0.0095999995,0.023699999,0.40445,0.17994,0.15494001,0.047930002,0.16114001,71.47,23.613636,3.2342412,0.00121,16.295,0.78441,22.0,70.78
22,Conglomerates,17.964299999999998,0.6507333,0.025466666666666665,0.018450001,0.3027433333333333,0.07034333333333333,0.13790666333333335,0.04723333366666666,0.027096666666666668,76.39933333333335,34.914655,1.7387384666666668,0.25916666633333335,9.406666666666666,0.587733342,2.5,32.085
23,Credit Services,12.618333333333334,0.0625,0.026875000512500004,0.04346666733333334,0.71404,0.41226666999999995,0.3926511166888889,0.07150555622222222,0.41584251125000005,537.3342857142858,9.815601850000002,4.331078606428571,0.14404666733333332,11.4742,0.5293666600000001,7.833333333333333,17.741666666666664
24,Diagnostics & Research,48.677325,0.021425,0.05091999880000001,0.0113,0.35020998833333333,-6.561159174166664,-0.11431583124999996,-0.12616333325555554,-0.31941111266666666,76.79366666666665,53.853071666666665,8.35598045,0.11159000058333333,-21.925333333333327,0.6479241674999999,5.4,56.153
