,sector,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Communication Services,54.614133333333335,0.02666842105263158,0.05958124928124999,0.05615,0.4978947664761905,-0.45920237885714293,0.01950285919047616,-0.1116814288333334,-0.5446714309523808,49.948,5.219135696470589,0.16849523904761904,-78.35352631578948,0.4497218990476191,13.666666666666666,76.25583333333333
2,Consumer Cyclical,49.72952195121951,0.026375000277777776,0.049454285629714295,0.035500000357142854,0.3596570726829269,-1.5164646324268292,-0.03415317065853658,0.02858068975517241,0.033838148148148166,197.7081875,10.58179810164762,0.23586316928536585,12.603076923076925,0.4742719522195125,8.107142857142858,73.93321428571429
3,Consumer Defensive,20.29864166666667,0.23374166666666665,0.030327272454545452,0.018500000000000003,0.36186166625000005,-0.0010266666916666667,0.01873416664166666,0.011345000800000001,0.3501799795999999,70.63863636363637,2.0844363971428574,0.24606666916666664,9.001083333333332,0.2925666684166666,7.4,41.688
4,Energy,33.39,0.32666666666666666,0.00580000025,0.0448,0.562675,-0.05601999994999999,-0.40774750000000004,0.0224875,-0.046519992499999996,25.090999999999998,2.9154413249999998,0.06664250000000001,9.9835,0.599567485,17.5,59.459999999999994
5,Financial Services,30.929840000000006,0.25829047746031747,0.02059740265025974,0.035751666666666654,0.09292271471428572,-2.172729716092858,0.5790259216357142,0.0022767142285714287,0.05930190677941175,393.13338709677413,3.4504424595384617,0.05517235342576471,10.198200000000002,0.48411867746404397,4.5,56.77380952380953
6,Healthcare,21.83039595959596,0.0006655913978494623,0.07321910111539326,0.0565,0.1671192918181818,-75.68853297385857,-0.2707518180383839,-0.2659101242481482,-0.8419228131666665,71.67756626506024,7.017474551756758,0.1406536740234694,-0.47713043478260864,0.5237967330816325,5.5,36.960348837209295
7,Industrials,48.432199999999995,0.11500000064516129,0.042793102793103444,0.013511111033333332,0.32234303230303024,-1.7324218237575761,-0.001122421121212131,-0.005530002448275855,0.07801740777777777,80.72053333333334,5.8008149404000005,0.17569499832812494,-43.072483870967744,0.532911880309375,5.541666666666667,70.58708333333333
8,Real Estate,156.44000000000003,0.85312,0.0335800002,0.02002500005,0.45462333833333335,0.1480966648833333,0.06284666716666666,0.028508333833333333,0.07597499949999999,72.80966666666666,14.004099625,0.11430833316666666,43.3675,0.6437133266666667,9.0,184.375
9,Technology,57.97150499999999,0.05511694889830509,0.05297857098196429,0.017744444499999998,0.49434600166666665,-0.7380706835999999,-0.08702049863166667,-0.05300824374385963,-0.16345017660714287,148.70250877192976,18.707549826000005,0.16212983445516665,-25.96649122807016,0.6430638310161668,9.272727272727273,85.34318181818182
10,Utilities,32.405,1.0845500000000001,0.0134999995,0.0296,0.31322501,0.0955850025,0.0291,0.018975001,0.04027,62.220000000000006,1.34748315,0.0263799985,11.2315,0.6869949799999999,9.0,34.025
