,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,Advertising Agencies,40.15,0.0,0.0,0.0,0.33421,0.08566,0.04684,0.06622,0.098979995,10.86,2.1856287,0.05163,7.974,0.88851,13.0,52.69
1,Aerospace & Defense,152.56,0.3003,0.0047,0.0125,0.25854,0.07675,0.05252,0.028970001,0.11137,62.535,2.95407,0.44426998,14.942,0.18524,2.0,157.0
2,Apparel Manufacturing,2.87,0.0,0.0039,0.0,0.34986,0.02337,0.023540001,0.01481,0.05547,85.85,0.32128066,0.73108,7.473,0.01263,0.0,0.0
3,Apparel Retail,56.199999999999996,0.0,0.144449995,0.0,0.47326500000000005,0.080095,0.059085001,0.085575,0.310555,116.672,4.32915055,0.18369999,7.931,0.65371995,2.5,78.835
4,Asset Management,220.35,0.1148,0.0072000003,0.0222,0.46245,0.32831,0.36929,0.11271,0.27173,0.982,3.623701,0.03458,10.079,0.65314,0.0,0.0
5,Auto & Truck Dealerships,31.47,0.0,0.047,0.0,0.44724998,0.1446,-0.01926,0.029089998,-0.02132,144.696,0.0,0.02657,31.856,0.96866995,8.0,38.38
6,Auto Parts,43.25666666666667,0.0,0.022533334,0.0,0.20066000666666664,0.06035666333333334,0.00929666666666667,0.046169999966666674,0.06035000333333334,129.25466666666668,2.391344804866667,0.24310000333333334,17.520333333333337,0.5689699966666666,3.0,66.41499999999999
7,Banks—Diversified,82.8,0.2208,0.0139,0.0159,0.0,0.61018,0.4952,0.01472,0.15149,0.0,2.2222223,0.00782,0.0,0.91791,11.0,90.55
8,Banks—Regional,46.884468085106384,0.27412439048780485,0.0225350001075,0.02861777777777778,0.0,0.40976850659574465,0.2868961700851064,0.010993829712765961,0.1022889352765957,0.0,1.3885367671428572,0.09469217506086958,0.0,0.4903393502173912,4.21875,63.09687500000001
9,Biotechnology,14.695921739130434,0.0,0.07292173912913044,0.0752,0.13339347739130433,-0.030732610000000004,-0.032958695652173915,-0.19206304313043474,-0.35409173726086957,10.0034,4.5393227489473675,0.16427565152173912,19.43045454545455,0.5152186937826088,6.166666666666667,35.30166666666666
10,Broadcasting,21.34,0.0,0.1144,0.0881,0.28203,-0.36317003,-0.432,-0.09899,-0.5159,67.334,3.7294650000000003,0.027449999,-20.423000000000002,0.31033,9.0,47.0
11,Building Products & Equipment,12.33,0.2593,0.0184,0.0554,0.27841,0.07,0.037019998,0.02931,0.03809,26.029,0.84608525,0.47224,8.193,0.46995997,2.0,19.5
12,Communication Equipment,20.898333333333333,0.15316666666666665,0.022159999899999998,0.021150001,0.4695849966666667,0.05171666666666666,0.03745166735,0.02651000116666666,0.044028333333333336,140.07299999999998,10.395547516666666,0.10508166833333334,4.0413999999999985,0.5896083343333333,9.0,28.060000000000002
13,Computer Hardware,14.17,0.113649995,0.22615000000000002,0.0,0.267015,0.060504998,0.04035,0.05531,0.15441499849999998,30.587,2.62845405,0.10630500500000001,8.836500000000001,0.661424995,9.0,31.0
14,Consulting Services,124.09,0.4093,0.0224,0.0067000003,0.35048,0.2463,0.23995,0.11229999,0.27443,4.028,17.127674,0.011720001,53.375,0.92583,2.0,115.0
15,Credit Services,38.47,0.2077,0.088749999,0.0167,0.55609,0.0741750025,-0.007870000000000002,0.031085,-0.0032099999999999976,64.764,1.4476786499999998,0.035110001,12.494499999999999,0.95810505,4.0,46.21
16,Diagnostics & Research,260.84,0.0,0.056166667999999996,0.0,0.7653633466666666,-0.16126333333333334,-0.15330333666666665,-0.017716665333333336,0.005336667666666674,80.155,15.717565233333334,0.03855333343333333,-10.940999999999997,0.93949333,14.333333333333334,253.30999999999997
17,Discount Stores,134.25,0.0,0.041300002,0.0,0.30762,0.08407,0.05781,0.06586,0.2155,138.009,4.1988554,0.01345,11.801,0.939,22.0,108.05
18,Drug Manufacturers—Specialty & Generic,33.355000000000004,0.0,0.16720000000000002,0.0,0.63984498,0.116115,0.031509999999999996,0.0438050005,0.008079999999999997,162.4215,17.4314379,0.063485,75.42349999999999,0.86269,3.0,34.75
19,Education & Training Services,2.555,0.0,0.01595,0.0,0.613645,0.225655,0.11576499500000001,0.08144000500000001,0.120119998,1.871,0.0,0.61298,11.7835,0.00493,1.0,10.0
