,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,1.08,0.0,0.004,0.0,0.21247,-0.03403,0.00794,-0.01706,0.07287,411.927,0.76428574,3.1034484,0.72914004,3072.14,0.015269999,0.0,0.0
1,Advertising Agencies,5.779999999999999,0.0,0.0514,0.0,0.231830005,-0.15781499999999998,-0.12939499499999998,-0.12327000049999999,-0.25296499,15.456,0.0,1.6886843,0.217115,-124.654,0.30548001,8.0,13.32
2,Aerospace & Defense,10.88,0.0,0.011566666679999999,0.0,0.38200334333333336,-0.0069433333333333335,0.011279996666666672,-0.0008299999999999986,0.012830001999999998,16.19966666666667,33.232064,3.2796645000000004,0.12226667266666665,22.04133333333333,0.6153700133333334,5.5,18.9
3,Airlines,14.47,0.0,0.0352,0.0,-0.14175999,-0.57679003,-0.28027,-0.08583,-0.24004,137.398,0.0,1.2335892,0.00636,-4.19,0.81774,15.0,20.13
4,Aluminum,102.19,0.0,0.024400001,0.026700001,0.12081,0.03746,-0.00685,0.022820001,-0.01986,151.609,384.17294,2.192354,0.012259999,15.958,1.04488,4.0,126.0
5,Apparel Manufacturing,10.033333333333333,0.14183333333333334,0.04056666666666667,0.0273,0.26187666666666665,-0.05088667333333332,-0.04048666333333334,0.053910000000000007,0.08183000133333333,2.19,12.733273149999999,1.37420545,0.38071666666666665,3.084666666666667,0.26325333333333334,2.0,24.25
6,Auto & Truck Dealerships,11.53,0.0,0.0692,0.0,0.476109995,0.2958300015,0.227969989,0.179615,0.365760005,149.954,13.365446,1.9680347,0.33980499999999997,18.277,0.344609975,2.0,28.5
7,Auto Parts,31.67,0.0,0.1105,0.0175,0.299495,-0.1318150025,-0.047690005,0.013169999999999998,0.066190005,31.7985,23.706377,1.929870315,0.09894,-0.06099999999999994,0.58989,9.0,62.11
8,Banks—Regional,35.591927999999996,0.28970435447826093,0.03626086973652174,0.02804347826086957,0.0,0.4180884004,0.3118631975999999,0.011743599947999998,0.11637200132,0.0,13.41072696956522,1.4589804141666667,0.18557666566666664,0.0,0.5027887528333332,4.352941176470588,40.715294117647055
9,Beverages—Non-Alcoholic,35.57,0.5579,0.019199999,0.0211,0.56401,0.259,0.13945,0.0403,0.07253,57.685,33.87619,2.0944474,0.40243998,16.504,0.48597,18.0,39.48
10,Biotechnology,35.07310344827586,0.0,0.10755185222222226,0.0,0.1790737906896552,-0.005742413758620697,-0.0722548284137931,-0.153271379862069,-0.31778206931379305,14.91814285714286,393.4354886,4.547624075,0.1469610346689655,-5.466758620689654,0.6758803515862069,7.6,63.237199999999994
11,Broadcasting,22.75,0.0,0.029000001,0.0,0.59571,-0.0094,-0.16271,-0.00184,-0.45199,847.603,0.0,3.190296,0.10073,24.839,0.88435,8.0,32.38
12,Capital Markets,31.036666666666665,0.039,0.0295,0.0052,0.7074766499999999,0.2251266666666667,0.13686333333333334,-0.011706666666666666,-0.08714000666666667,43.309333333333335,25.989917499999997,2.3449389333333333,0.031193333333333333,36.958,0.3958300166666666,5.0,83.4
13,Communication Equipment,24.168333333333333,0.06498333833333333,0.056433334,0.0297,0.41786167,0.04507666333333333,0.007966666000000002,0.017004999666666666,-0.024550001666666665,46.75,23.714651333333336,2.8037943666666663,0.13129666658333333,-1726.5604999999996,0.6777716766666667,6.8,31.936
14,Computer Hardware,36.72,0.0466,0.04776666766666667,0.0094,0.298339998,0.08238333266666666,0.07475,0.08800333333333334,0.21269333333333332,31.656333333333333,13.263052250000001,6.367607986666667,0.03746333333333333,57.913000000000004,0.6092500233333333,5.5,72.03
15,Conglomerates,51.7,25.0,0.0047999998,0.158,0.23261999,0.12768,0.0019400001,0.03716,0.074149996,82.212,0.0,3.0930302,0.0016699999,12.748,0.90048,0.0,0.0
16,Consulting Services,73.935,0.074250005,0.0128000005,0.0052,0.32526001000000004,0.07126499850000001,0.037540000000000004,0.04054,0.07109,57.063,33.333375000000004,2.14438995,0.030185000000000003,16.732,0.9580099799999999,5.0,120.8
17,Consumer Electronics,51.605,0.0,0.2476,0.0,0.386625005,0.013954999999999999,0.041345,0.024125,0.0833800005,8.736,202.8937315,4.86327255,0.24282,-153.6715,0.49001502,4.0,97.25
18,Diagnostics & Research,225.6266666666667,0.0,0.027933333333333334,0.0,0.46999666,0.06742000333333334,0.05993999999999999,0.016173333333333335,0.033923336666666665,45.67933333333334,90.19013000000001,5.898591866666667,0.012786666,112.42900000000002,0.9228566800000001,11.0,267.31333333333333
19,Drug Manufacturers—General,104.5,0.0,0.0272,0.0,0.76384,0.20327,0.18661,0.052270003,0.13383001,60.048,44.39252,5.322129,0.01007,41.075,0.91558,12.0,143.84
20,Drug Manufacturers—Specialty & Generic,4.92,0.0,0.0239,0.0,0.28697666666666666,0.041699999999999994,0.08781000333333333,-0.10110333333333334,-0.18470001666666666,4.987333333333333,17.41433,1.137243585,0.32168667666666667,4.1455,0.16273,1.0,11.0
21,Education & Training Services,31.72,0.0,0.026566666666666666,0.0,0.54035666,0.17631999900000003,-0.027743333333333325,0.05594333333333334,0.16940667333333334,37.28366666666667,9.209088,1.8092613999999998,0.046253333333333334,13.725333333333333,0.9063666233333333,4.0,48.776666666666664
